time,roll_setpoint,gyro_roll,pitch_setpoint,gyro_pitch,yaw_setpoint,gyro_yaw
0.0,3.221088436188455,-1.1273170523452476,3.543197279807301,-0.5838117935307122,2.2547619053319186,2.2978971218215847
0.001,3.299582398918418,-1.129427265824239,3.62954063881026,-0.5264238883861253,2.3097076792428926,1.8659135869856251
0.002,3.3777459409858164,-1.0106183224843994,3.7155205350843983,-0.3807991458272875,2.364422158690071,1.8390210719560642
0.003,3.455574210797501,-0.48143700248802335,3.8011316318772517,-0.14175509358872182,2.4189019475582505,1.6632452285386206
0.004,3.533062390490227,0.06929217113569419,3.88636862953925,0.1497342786369801,2.473143673343159,1.5393597253956328
0.005,3.6102056963405573,-0.015486525332116141,3.9712262659746136,0.3675902821272826,2.52714398743839,1.3607980541136668
0.006,3.686999379171322,-0.10878028837268282,4.055699317088455,0.45391280941362083,2.580899565419925,1.1029361407411664
0.007,3.763438724754603,-0.02021232148696657,4.139782597230063,0.2411484813926898,2.634407107328222,1.0101253364734557
0.008,3.839519054211185,0.24133502102365567,4.223470959632304,0.046577480973316265,2.6876633379478294,0.702033733836473
0.009,3.9152357244064526,0.0962519685631954,4.3067592968470985,-0.19575532997337508,2.740665007084517,0.3459825356257489
0.01,3.9905841283426917,0.031117456845971045,4.389642541176961,0.030490130096853224,2.793408889839884,0.33562141584681726
0.011,4.0655596955477415,0.08966559387184622,4.472115665102516,-0.09863639076348615,2.845891786883419,0.08921244621215527
0.012,4.140157892459986,-0.08347148819396907,4.5541736817059855,-0.35139705722488934,2.8981105247219903,0.13673150505504017
0.013,4.214374222809629,-0.2700976999243102,4.635811645090592,-0.17265671618129208,2.95006195596674,0.1450138983604918
0.014,4.28820422799622,-0.22724199816211363,4.7170246507958415,-0.8498660711062437,3.0017429595973537,0.2961860370105317
0.015,4.3616434874624,0.16683208951287748,4.797807836208641,-0.14340734132825161,3.05315044122368,0.3606768676330901
0.016,4.4346876190638245,0.6527644306357456,4.878156380970207,0.23484711002901282,3.104281333344677,0.3441590363953787
0.017,4.507332279435237,0.6326820238561799,4.958065507378761,0.293945732020616,3.1551325956046656,0.3932418892477854
0.018,4.5795731643526425,1.0267390594346013,5.0375304807879075,1.1552627972223437,3.2057012150468496,0.3382414167497248
0.019,4.651406009091567,1.3764475970349759,5.116546610000724,1.683752236636788,3.2559842063640967,0.2590668087119311
0.02,4.722826588781357,1.763071086095537,5.195109247659493,1.782385683891761,3.30597861214695,0.1547709622201794
0.021,4.793830718755473,1.6974804559107222,5.27321379063102,2.2359331952577577,3.3556815031288307,0.2802384423497851
0.022,4.864414254897774,1.7761964251513067,5.350855680387552,2.2643973269498052,3.4050899784284416,0.14440375150369153
0.023,4.934573093984735,2.4026012824002736,5.428030403383209,2.5652428847226503,3.454201165789314,0.037504523245694435
0.024,5.004303174023567,2.6687848708453012,5.504733491425925,2.8843661940448575,3.5030122218164967,0.2814537670184904
0.025,5.073600474586228,2.839065838254072,5.580960522044851,3.2648839736600177,3.5515203322103592,0.5458344399978842
0.026,5.142461017139256,2.9896814155735183,5.656707118853182,3.566306024993634,3.599722711997479,0.6584912439364138
0.027,5.210880865369442,3.3098660256194785,5.731968951906387,3.4959961088428955,3.6476166057586092,0.8175976384603622
0.028,5.278856125505255,3.7641973401690714,5.8067417380557815,3.7415818035933706,3.6951992878536783,0.9549149756529561
0.029,5.346382946634043,3.741925604270773,5.881021241297448,4.0500099631797415,3.7424680626438303,1.1007737787382537
0.03,5.413457521014937,3.6888406492613823,5.954803273116432,4.369588648574474,3.7894202647104556,1.1984357261848133
0.031,5.480076084387463,3.894902590810572,6.028083692826209,4.612561158597282,3.8360532590712237,1.294774814033154
0.032,5.546234916275796,3.7876344389290244,6.100858407903376,4.87172744748442,3.8823644413930567,1.1849382518041622
0.033,5.611930340288663,4.043895666558775,6.17312337431753,4.5577828752426015,3.928351238202064,1.4281496624209018
0.034,5.6771587244148485,4.338080237610573,6.2448745968563335,4.393189026237884,3.974011107090394,1.4310824572859235
0.035,5.741916481314269,4.1772150778558945,6.316108129445697,4.588234023501622,4.019341536919988,1.5234390400858553
0.036,5.806200068604601,4.052998903994539,6.386820075465061,4.734467400622512,4.064340048023221,1.5403906627706694
0.037,5.8700059891434355,4.068592746461067,6.457006588057779,4.850075626249997,4.109004192400405,1.804976372126665
0.038,5.933330791305923,4.552145593908868,6.526663870436516,4.963322902352502,4.153331553914145,1.9107166257908605
0.039,5.996171069257885,4.6730526437363755,6.5957881761836745,4.661760875428408,4.19731974848052,2.144495787246681
0.04,6.058523463224383,4.877761417489299,6.664375809546822,4.913066235044544,4.240966424257068,2.3160215440399785
0.041,6.120384659753688,4.808452931963256,6.732423125729057,4.957035122435278,4.284269261827581,2.307552463662011
0.042,6.181751391976656,4.384985684855908,6.7999265311743216,4.755192326378666,4.3272259743836585,2.3959198146334324
0.043,6.242620439861469,4.389563201072557,6.866882483847616,4.931119597621243,4.3698343079030275,2.5179416407084045
0.044,6.302988630463721,4.374410846262119,6.933287493510094,5.120295192900725,4.4120920413246045,2.404562887841118
0.045,6.3628528381718334,4.500471456867285,6.999138121989017,5.3249664493866575,4.453996986720283,2.6760203601104187
0.046,6.422209984947755,4.275607654103089,7.064430983442531,5.352420403306381,4.495546989463429,2.899176999103775
0.047,6.481057040562951,4.461756701751462,7.129162744619247,5.587827837492333,4.5367399283940655,3.1067285478513083
0.048,6.5393910228296495,4.819201405954182,7.193330125112615,5.321733091694114,4.577573715980754,3.1151027650109357
0.049,6.597208997827305,4.865350287702235,7.2569298976100365,5.444977485327868,4.618046298479113,3.0812964921769637
0.05,6.654508080124296,5.006233650281964,7.319958888136727,5.509953055308575,4.658155656087007,2.9499265571710396
0.051,6.711285432994797,4.811066159848073,7.382413976294277,5.615856161570378,4.697899803096357,3.1829371802214865
0.052,6.76753826863083,4.9034474899699685,7.444292095493913,5.709487248808184,4.73727678804158,3.221525180019922
0.053,6.82326384834947,5.117383912551793,7.505590233184417,6.0590737372042565,4.776284693844628,3.541523835109592
0.054,6.878459482795181,5.264767308306805,7.566305431074699,6.083121060790623,4.814921637956626,3.39389758354111
0.055,6.933122532137267,5.678326405938484,7.626434785350994,6.186713809192335,4.8531857724960865,3.1239089449031696
0.056,6.987250406262419,5.96930790458064,7.685975446888661,6.547253797933069,4.891075284383692,3.0197263528396228
0.057,7.0408405649623464,6.108790171611403,7.744924621458582,6.88903328480168,4.928588395473642,3.122077937043045
0.058,7.093890518116458,6.147370610234129,7.803279569928105,6.12644956713767,4.96572336268152,3.0149469167870073
0.059,7.1463978258696095,6.012155173181281,7.861037608456571,6.399718897359212,5.002478478108726,2.902472449793838
0.06,7.198360098804855,5.87132247458452,7.918196108685342,6.4144748455558345,5.038852069163398,3.1674626810066044
0.061,7.249774998111233,5.716732250105833,7.974752497922357,6.415026256082447,5.074842498677863,3.2032488657905014
0.062,7.30064023574654,5.643130040439461,8.030704259321194,6.120582626992459,5.110448165022578,3.337998179725244
0.063,7.350953574595092,5.736398868390451,8.086048932054602,6.334842621763421,5.145667502216564,3.184682146365756
0.064,7.400712828620459,5.59529972484825,8.140784111482505,6.795274983993016,5.180498980034321,3.1477581370635805
0.065,7.449915863013141,5.594683890071859,8.194907449314455,6.554478909031556,5.214941104109198,3.291168980994865
0.066,7.498560594333212,5.6579539437415045,8.248416653766535,6.368710154495099,5.248992416033248,3.4036016796399937
0.067,7.546644990647877,5.903839324770641,8.301309489712665,6.369296816283724,5.282651493453514,3.7577716450078555
0.068,7.594167071663945,5.785813441553269,8.35358377883034,6.444013133137553,5.315916950164761,3.6779747917966654
0.069,7.641124908855225,5.927217156298612,8.405237399740749,6.367707537277888,5.348787436198657,3.748575414426622
0.07,7.687516625584808,5.687512557249956,8.45626828814329,6.6993157347860075,5.381261637909366,3.8465168132254144
