time,gyro_x,gyro_y,gyro_z,throttle,setpoint_roll,setpoint_pitch,setpoint_yaw
0.0,-0.0032240665978682465,-0.009566007456959184,-0.031125108276902548,0.3927183627708272,0.0,0.0,0.0
0.001,0.16761415841300045,0.13046317315138317,0.17149663848732277,0.3359446355644487,0.006785695469794662,0.004398172994429682,0.0015079581236456586
0.002,0.10498871627232507,0.1083563662145015,0.10917202311286234,0.3637941691001913,0.013570522990037852,0.008796005670549861,0.0030158781470191955
0.003,0.08571857813443362,0.11708753169849148,0.10310586343844597,0.3641490237602904,0.020353614722196406,0.013193157736383907,0.004523721970811135
0.004,0.06690706220446774,0.04749927563893519,0.03907452687129365,0.3603111982492891,0.027134103049759564,0.017589288952618912,0.006031451497637273
0.005,0.03962047052268784,0.03106774374925006,0.003970309482580141,0.36701572853012787,0.033911120689214716,0.02198405915893245,0.007539028633001243
0.006,-0.046656399261763355,-0.08605884696616965,-0.11681523721632599,0.3574146008113255,0.040683800800980455,0.026377128300313236,0.009046415286257025
0.007,0.1170906907444514,0.08781720744726881,0.0359983677356639,0.3524811833440261,0.047451277100282956,0.03076815645337361,0.010553573371571347
0.008,0.12950056371795135,0.0729323413957024,0.06204820803232852,0.35302473145593627,0.05421268396796135,0.0351568038526519,0.01206046480888596
0.009,0.04890158229145347,0.024912307935353754,-0.012885408427831964,0.36100367700560604,0.060967156561187896,0.03954273091690246,0.013567051524879782
0.01,-0.003972638475198763,0.029450462341408877,-0.03135637654150114,0.38244037648229245,0.067713830924089,0.04392559827537158,0.015073295453930866
0.011,0.039198192241178875,0.0276882750646704,-0.07779910430945514,0.3517861197036379,0.07445184409825262,0.04830506679405701,0.016579158539078154
0.012,0.05373505079157391,0.03212633114432127,-0.055714803377497284,0.3552463573716796,0.08118033423310818,0.052680797601949186,0.018084602732983054
0.013,0.08848652978011083,0.04591113139611111,-0.026810290245867154,0.35227882091853685,0.08789844069616477,0.05705245211725215,0.01958958999889072
0.014,0.3175024488585661,0.3058194008097283,0.19914943540611812,0.35797085096628056,0.09460530418309357,0.06141969207358205,0.02109408231159114
0.015,0.29916847935703705,0.26708019386880133,0.18737394416488914,0.35091645581624326,0.10130006682764033,0.06578217954614125,0.022598041658379815
