time,gyro_x,gyro_y,gyro_z,setpoint_roll,setpoint_pitch,setpoint_yaw,throttle
0.0,0.016472800395339868,0.2188101192160165,0.17431988926672776,0.0,0.1783068598768347,0.1932653061713073,0.3818910182129601
0.001,0.0027303893859816613,0.16893407944156985,0.17547385433355722,0.006785695469794662,0.18244377717738547,0.19448798360832317,0.3861211631117718
0.002,0.023348106417329578,0.1764439727187366,0.17929032426813174,0.013570522990037852,0.18656756783340503,0.1957051136472884,0.3839286297699732
0.003,-0.005650073173963268,0.16416855403556388,0.16003739182931664,0.020353614722196406,0.19067793514234255,0.19691666157189464,0.38853088124580193
0.004,-0.00723494759084595,0.1837844579535201,0.1779397570733561,0.027134103049759564,0.19477458336744344,0.19812259282505268,0.3940147932692571
0.005,-0.015429533903658213,0.147973444888816,0.16209082462625757,0.033911120689214716,0.19885721775902732,0.1993228730098782,0.39825695823693724
0.006,-0.04663966547347269,0.1424078486132483,0.16726265264580084,0.040683800800980455,0.20292554457569478,0.2005174678906727,0.3830318720463208
0.007,-0.0009173687403669318,0.19093891522177514,0.19118159712879373,0.047451277100282956,0.20697927110546196,0.20170634339390028,0.38718772210611857
0.008,0.01574959155297519,0.17823175676176423,0.17389146570255398,0.05421268396796135,0.21101810568682092,0.20288946560915913,0.37534782273100664
0.009,0.012441118640300633,0.17832768078292408,0.1608403589781942,0.060967156561187896,0.21504175772972411,0.2040668007901491,0.3945730309456351
0.01,0.0076956875663666754,0.17698230009862734,0.1695072028111079,0.067713830924089,0.2190499377364923,0.20523831535563422,0.38978972347619095
0.011,0.0007967505008704212,0.1350250463724554,0.16069914687261863,0.07445184409825262,0.22304235732264358,0.2064039758904003,0.3774290889059972
0.012,0.00570859713841477,0.14426816756122723,0.15913298339585133,0.08118033423310818,0.22701872923764224,0.20756374914620826,0.37199254517829755
0.013,0.018756742196972268,0.1696603948590749,0.14447901198206245,0.08789844069616477,0.23097876738556622,0.20871760204274242,0.38900091014229693
0.014,0.02430875701698421,0.15296846163488362,0.16209910782863107,0.09460530418309357,0.2349221868456914,0.20986550166855403,0.4029075979710464
0.015,0.0399132688753388,0.17139025042488715,0.17756922493422286,0.10130006682764033,0.23884870389299154,0.2110074152819999,0.406421172589854
0.016,0.05808824788750004,0.20543388834620577,0.1851927990413721,0.10798187231135387,0.24275803601855162,0.21214331031217656,0.3720223756398987
0.017,0.04457667158192443,0.1662877463255948,0.16377086772469063,0.11464986597311683,0.24664990194989436,0.2132731543598491,0.39891673021589547
0.018,0.05389904061668646,0.19572401337569528,0.17236883241788523,0.12130319491846409,0.2505240216712175,0.21439691519837514,0.39743075522536214
0.019,0.05603678462469069,0.19204813950277064,0.17732313913576775,0.12794100812867554,0.2543801164435405,0.2155145607746245,0.40463683458129374
0.02,0.060160082456740004,0.1745013681736001,0.16554305962046698,0.1345624565696287,0.25821790882475965,0.216626059209893,0.3938828470065594
0.021,0.038598389740745774,0.1673525554319242,0.16778596241340232,0.14116669330039763,0.26203712268960955,0.21773137880081186,0.3843215054002256
0.022,0.03822526029490249,0.19482946887419425,0.16314360855669896,0.14775287358158398,0.26583748324953044,0.21883048802025215,0.3979226205314536
0.023,0.07073057954141444,0.20908475331362864,0.18595408332273117,0.15432015498336663,0.2696187170724385,0.21992335551822387,0.35772717477585364
0.024,0.12681240210441452,0.21393239613347417,0.20085355302873464,0.16086769749325572,0.2733805521023993,0.2210099501227702,0.37690815931621147
0.025,0.1133370431046835,0.22866463677832605,0.19305128926580556,0.16739466362353755,0.2771227176792018,0.22209024084085657,0.37853016607233303
0.026,0.11417107364526805,0.2472201159044765,0.1874506406435707,0.1739002185183966,0.2808449445578323,0.22316419685925482,0.38104959389438603
0.027,0.10828269785150522,0.24227364276973762,0.18692744289416105,0.1803835300607009,0.2845469649278461,0.22423178754542192,0.37103833403840686
0.028,0.14516958977862934,0.19309360816526186,0.1945747314001108,0.1868437689784369,0.28822851243263614,0.22529298244837379,0.3826644362580047
0.029,0.11181959746297356,0.20319006229237593,0.17404803961424403,0.19328010895078082,0.2918893221885974,0.22634775129955387,0.38295048363614487
0.03,0.11897880759869076,0.2086546676810384,0.19581202611194054,0.19969172671379196,0.295529130804185,0.22739606401369641,0.3865892524331821
0.031,0.13960662677080826,0.24674523333197454,0.19410171639524948,0.20607780216571572,0.29914767639886425,0.22843789068968462,0.39331471003291407
0.032,0.1751583110244228,0.24703156207519644,0.19704153924910542,0.2124375184718814,0.30274469862195375,0.22947320161140367,0.37505112928963685
0.033,0.16381782003816767,0.2627297471880522,0.1884563322772351,0.21877006216918268,0.3063199386713566,0.23050196724858799,0.38478987255733227
0.034,0.16612713418250927,0.26173717350999354,0.176440926315424,0.2250746232701266,0.3098731393121811,0.23152415825766384,0.3892823041813257
0.035,0.15558114321646951,0.23802865099363646,0.17808642285293647,0.23135039536643792,0.313404044895249,0.23253974548258619,0.36829054289106133
0.036,0.14747576591072123,0.23513479143887012,0.18532345635099637,0.23759657573220588,0.3169124013754882,0.23354869995567032,0.389810590202657
0.037,0.1577611588996815,0.2481064717441082,0.19073495356992848,0.24381236542655987,0.32039795633021234,0.23455099289841808,0.3937163901627495
0.038,0.14440279494346606,0.25389808030960104,0.17622264903201845,0.24999696939586072,0.3238604589772811,0.23554659572233871,0.4001052583600882
0.039,0.17525046993796844,0.27774161728675234,0.20857894115541006,0.2561495965753951,0.3272996601931447,0.23653548002976438,0.37532705920930404
