time,roll_setpoint,roll_gyro,pitch_setpoint,pitch_gyro,yaw_setpoint,yaw_gyro
0.0,3.221088436188455,0.0,3.543197279807301,0.0,2.2547619053319186,0.0
0.001,3.299582398918418,0.0,3.62954063881026,0.0,2.3097076792428926,0.0
0.002,3.3777459409858164,0.0,3.7155205350843983,0.0,2.364422158690071,0.0
0.003,3.455574210797501,0.0,3.8011316318772517,0.0,2.4189019475582505,0.0
0.004,3.533062390490227,0.0,3.88636862953925,0.0,2.473143673343159,0.0
0.005,3.6102056963405573,0.0,3.9712262659746136,0.0,2.52714398743839,0.0
0.006,3.686999379171322,0.0,4.055699317088455,0.0,2.580899565419925,0.0
0.007,3.763438724754603,0.0,4.139782597230063,0.0,2.634407107328222,0.0
0.008,3.839519054211185,0.0,4.223470959632304,0.0,2.6876633379478294,0.0
0.009,3.9152357244064526,0.0,4.3067592968470985,0.0,2.740665007084517,0.0
0.01,3.9905841283426917,0.0,4.389642541176961,0.0,2.793408889839884,0.0
0.011,4.0655596955477415,0.0,4.472115665102516,0.0,2.845891786883419,0.0
0.012,4.140157892459986,0.0,4.5541736817059855,0.0,2.8981105247219903,0.0
0.013,4.214374222809629,0.0,4.635811645090592,0.0,2.95006195596674,0.0
0.014,4.28820422799622,0.0,4.7170246507958415,0.0,3.0017429595973537,0.0
0.015,4.3616434874624,0.0,4.797807836208641,0.0,3.05315044122368,0.0
0.016,4.4346876190638245,0.0,4.878156380970207,0.0,3.104281333344677,0.0
0.017,4.507332279435237,0.0,4.958065507378761,0.0,3.1551325956046656,0.0
0.018,4.5795731643526425,0.0,5.0375304807879075,0.0,3.2057012150468496,0.0
0.019,4.651406009091567,0.0,5.116546610000724,0.0,3.2559842063640967,0.0
0.02,4.722826588781357,0.0,5.195109247659493,0.0,3.30597861214695,0.0
0.021,4.793830718755473,0.0,5.27321379063102,0.0,3.3556815031288307,0.0
0.022,4.864414254897774,0.0,5.350855680387552,0.0,3.4050899784284416,0.0
0.023,4.934573093984735,0.0,5.428030403383209,0.0,3.454201165789314,0.0
